                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3152,                 3.0256,                  1.429,                0.92643,                0.88868,                0.91982,                0.64754,                0.98529,                  1.653,                 1.1826,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                0.92204,                 1.5207,                 1.1559,                0.71376,                0.80952,                0.81547,                0.59636,                0.89311,                  1.913,                 1.0663,             0.00011091,             0.00011091,             0.00011091
                      3,                 0.9789,                 1.3275,                 1.1593,                0.94505,                0.95351,                0.97575,                0.72044,                 1.0201,                 2.5763,                  1.107,             0.00016522,             0.00016522,             0.00016522
                      4,                0.92931,                 1.0224,                 1.1173,                0.93287,                 0.9562,                0.97878,                0.71931,                0.95804,                 3.1895,                 1.1874,             0.00021292,             0.00021292,             0.00021292
                      5,                 1.0109,                 1.0711,                 1.1873,                0.86833,                0.90476,                 0.9657,                0.70452,                0.96622,                 2.5716,                 1.2266,             0.00025402,             0.00025402,             0.00025402
                      6,                0.85865,                0.86791,                 1.1158,                0.94164,                0.88095,                0.94849,                0.64578,                 1.0921,                 1.6919,                 1.3047,             0.00028852,             0.00028852,             0.00028852
                      7,                0.91591,                0.88455,                 1.1052,                0.84047,                0.97619,                0.96619,                0.63638,                 1.0959,                 1.4857,                 1.4382,             0.00031641,             0.00031641,             0.00031641
                      8,                 0.8624,                0.87246,                 1.1224,                0.94789,                0.96125,                0.99131,                0.67636,                 1.1661,                 1.3507,                 1.4116,             0.00033771,             0.00033771,             0.00033771
                      9,                0.86233,                0.77037,                 1.0966,                0.97147,                0.92857,                0.97082,                0.70236,                 1.1043,                 1.3643,                 1.3912,              0.0003524,              0.0003524,              0.0003524
                     10,                0.81821,                0.70527,                 1.0618,                0.94739,                0.88095,                0.94915,                0.63027,                 1.2413,                 1.1978,                 1.5132,              0.0003605,              0.0003605,              0.0003605
                     11,                0.76528,                0.91639,                  1.064,                0.56323,                0.90476,                0.64041,                0.42478,                 1.2147,                 10.831,                 1.4009,             0.00036199,             0.00036199,             0.00036199
                     12,                0.73867,                0.75173,                 1.0091,                0.53455,                0.90476,                0.53797,                0.40876,                 1.0016,                 24.743,                 1.3007,             0.00035688,             0.00035688,             0.00035688
                     13,                0.86542,                0.91514,                 1.0694,                0.48617,                0.61905,                0.53084,                0.40305,                 1.0372,                 37.266,                 1.2725,             0.00034517,             0.00034517,             0.00034517
                     14,                0.79177,                0.83608,                 1.0291,                   0.52,                0.85714,                 0.5493,                0.42702,                 1.0082,                 24.375,                 1.2447,             0.00032686,             0.00032686,             0.00032686
                     15,                0.78979,                0.74862,                 1.0477,                 0.5737,                      1,                0.58529,                0.44365,                0.99243,                 11.088,                 1.2464,             0.00030194,             0.00030194,             0.00030194
                     16,                0.69157,                0.59697,                0.96319,                0.59694,                0.95238,                0.61551,                0.47537,                 0.9031,                 6.1002,                 1.1539,             0.00027043,             0.00027043,             0.00027043
                     17,                0.72793,                0.67073,                 1.0482,                  0.671,                0.97619,                0.68982,                 0.5258,                0.91038,                 3.2424,                  1.175,             0.00023231,             0.00023231,             0.00023231
                     18,                 0.7074,                0.64976,                 1.0494,                0.90296,                0.99362,                0.98634,                0.74273,                0.93658,                 1.2543,                 1.2098,              0.0001876,              0.0001876,              0.0001876
                     19,                0.65782,                0.58139,                0.99996,                 0.9814,                      1,                  0.995,                0.75392,                0.91576,                 1.0272,                 1.1884,             0.00013628,             0.00013628,             0.00013628
                     20,                0.61617,                0.55183,                 1.0173,                0.98466,                      1,                  0.995,                0.76663,                0.88981,                0.87115,                 1.1767,             7.8357e-05,             7.8357e-05,             7.8357e-05
